1922	1
1925	2
1926	3
1927	8
1928	9
1929	12
1930	7
1931	2
1933	1
1934	3
1935	2
1936	6
1937	4
1938	1
1939	4
1940	2
1941	7
1942	3
1943	2
1944	6
1945	7
1946	7
1947	5
1948	5
1949	12
1950	10
1951	11
1952	8
1953	19
1954	20
1955	29
1956	49
1957	41
1958	49
1959	42
1960	33
1961	48
1962	54
1963	84
1964	62
1965	86
1966	87
1967	116
1968	132
1969	140
1970	153
1971	115
1972	125
1973	154
1974	108
1975	112
1976	130
1977	147
1978	176
1979	173
1980	155
1981	172
1982	211
1983	169
1984	200
1985	203
1986	245
1987	285
1988	321
1989	347
1990	383
1991	438
1992	484
1993	551
1994	622
1995	683
1996	715
1997	748
1998	801
1999	900
2000	996
2001	1087
2002	1143
2003	1299
2004	1451
2005	1737
2006	1791
2007	1680
2008	1395
2009	1072
2010	267
