1922	1
1925	4
1926	8
1927	21
1928	17
1929	42
1930	24
1931	14
1932	6
1933	5
1934	15
1935	14
1936	13
1937	12
1938	8
1939	23
1940	30
1941	17
1942	18
1943	7
1944	9
1945	16
1946	19
1947	38
1948	18
1949	32
1950	38
1951	41
1952	33
1953	75
1954	68
1955	144
1956	285
1957	288
1958	283
1959	282
1960	210
1961	293
1962	300
1963	468
1964	462
1965	511
1966	691
1967	891
1968	951
1969	1082
1970	1153
1971	1071
1972	1139
1973	1302
1974	1079
1975	1277
1976	1108
1977	1299
1978	1458
1979	1552
1980	1581
1981	1562
1982	1803
1983	1687
1984	1664
1985	1823
1986	2142
1987	2568
1988	2824
1989	3387
1990	3572
1991	4314
1992	4781
1993	5268
1994	5976
1995	6672
1996	7111
1997	7393
1998	7863
1999	9206
2000	9575
2001	10804
2002	11592
2003	13485
2004	14625
2005	17417
2006	18624
2007	19369
2008	17255
2009	15312
2010	4618
2011	1
